time,u,y,ydot,i
0,-158.48219,0.3,0.2,0
1.2679716e-06,-158.46571,0.30000025,0.20000569,-0.00020094046
7.6078294e-06,-158.38329,0.30000152,0.20003405,-0.0012053292
3.9307118e-05,-157.97169,0.30000786,0.20017332,-0.0062194431
0.00019780356,-155.92588,0.30003964,0.20080765,-0.031095254
0.00099028579,-145.99506,0.30019961,0.20248992,-0.15072666
0.0049526969,-103.08342,0.30097293,0.18025678,-0.6436962
0.015661827,-28.850071,0.30193229,-0.024848157,-1.3549116
0.026751749,8.5831753,0.30005867,-0.31841514,-1.5378062
0.040148714,26.38305,0.2933601,-0.67722529,-1.3993589
0.055939017,29.600361,0.27970898,-1.0364576,-1.0373908
0.073855245,24.863006,0.25841907,-1.3161404,-0.59156269
0.093855245,17.903001,0.2303344,-1.466399,-0.17719926
0.11385524,12.421043,0.200641,-1.4852538,0.12217328
0.13385524,8.7697581,0.17147571,-1.420922,0.32679189
0.15385524,6.4429537,0.14410746,-1.3105773,0.46422094
0.17385524,4.9256107,0.11919617,-1.1783397,0.5557505
0.19385524,3.8779092,0.097020786,-1.0388456,0.61551754
0.21385524,3.107259,0.077631822,-0.90080055,0.65266978
0.23385524,2.5111332,0.060944329,-0.76934495,0.67332341
0.25385524,2.0359101,0.046793961,-0.64745274,0.68179967
0.27385524,1.6530423,0.034971521,-0.53673616,0.68132108
0.29385524,1.3462919,0.025245076,-0.43791608,0.67439042
0.31385524,1.1051114,0.017374709,-0.35110799,0.66299813
0.33385524,0.9213205,0.011122653,-0.27600626,0.64874017
0.35385524,0.7875516,0.0062603726,-0.21201111,0.63288981
0.37385524,0.69664605,0.0025734732,-0.15832211,0.61644646
0.39385524,0.64154575,-0.00013504572,-0.11401091,0.60017347
0.41385524,0.61541499,-0.0020428354,-0.078079711,0.58463099
0.43385524,0.61183782,-0.0033072978,-0.049508436,0.57020628
0.45385524,0.62500485,-0.0040655328,-0.027292498,0.55714258
0.47385524,0.64984726,-0.0044349529,-0.010471889,0.5455663
0.49385524,0.68210492,-0.0045143992,0.0018475459,0.53551213
0.51385524,0.7183324,-0.0043856128,0.010479869,0.52694575
0.53385524,0.75585549,-0.0041149265,0.016150924,0.5197835
0.55385524,0.79269371,-0.0037550672,0.01949532,0.51390919
0.57385524,0.82746369,-0.0033469762,0.021057495,0.50918774
0.59385524,0.85927597,-0.0029215752,0.021295862,0.50547597
0.61385524,0.88763411,-0.0025014265,0.020589124,0.50263077
0.63385524,0.91234239,-0.0021022522,0.019243964,0.50051502
0.65385524,0.93342521,-0.0017342914,0.017503433,0.49900156
0.67385524,0.95105962,-0.0014034869,0.01555553,0.49797555
0.69385524,0.96552092,-0.0011125021,0.01354155,0.49733574
0.71385524,0.97714014,-0.00086157532,0.011563945,0.49699466
0.73385524,0.98627203,-0.00064922422,0.0096934939,0.49687823
0.75385524,0.99327198,-0.00047281347,0.0079756918,0.49692494
0.77385524,0.99848003,-0.00032900367,0.0064363146,0.49708468
0.79385524,1.0022106,-0.00021409688,0.0050861662,0.49731746
0.81385524,1.0047466,-0.00012429507,0.0039250489,0.49759209
0.83385524,1.0063369,-5.5886498e-05,0.0029450206,0.49788488
0.85385524,1.0071956,-5.3734202e-06,0.0021330107,0.49817838
0.87385524,1.0075038,3.0446774e-05,0.0014728758,0.49846028
0.89385524,1.0074116,5.4436591e-05,0.00094697559,0.49872237
0.91385524,1.0070413,6.9100813e-05,0.00053734373,0.49895971
0.93385524,1.0064904,7.6588866e-05,0.00022652625,0.49916982
0.95385524,1.0058349,7.8711158e-05,-1.8493234e-06,0.49935209
0.97385524,1.0051327,7.6964578e-05,-0.00016271797,0.49950723
0.99385524,1.0044265,7.25634e-05,-0.00026938592,0.49963686
1,1.0042137,7.0833219e-05,-0.00029311236,0.49967189
