time,u,y,ydot,i
0,-158.48219,0.3,0.2,0
1.2679716e-06,-158.4659,0.30000025,0.20000569,-0.00020094058
7.6078294e-06,-158.38443,0.30000152,0.20003405,-0.0012053336
3.9307118e-05,-157.97758,0.30000786,0.20017332,-0.0062195588
0.00019780356,-155.95531,0.30003964,0.20080764,-0.031098173
0.00099028579,-146.13754,0.30019961,0.20248931,-0.15079822
0.0049526969,-103.68618,0.30097285,0.18019427,-0.64530978
0.015713093,-29.800505,0.30192519,-0.027416958,-1.3694164
0.026887514,7.6819498,0.29997713,-0.32703617,-1.5671385
0.040480229,25.777422,0.29297826,-0.69892383,-1.4428519
0.056428041,29.315913,0.27871057,-1.075748,-1.0923817
0.074570899,24.937651,0.25621554,-1.3804764,-0.6496834
0.095757694,17.996613,0.22471699,-1.5646233,-0.21219998
0.12194101,11.66063,0.18293107,-1.5989969,0.16791071
0.15017817,7.8681428,0.1389747,-1.4979909,0.4260235
0.17841534,5.8597831,0.098932756,-1.3315155,0.58671909
0.21159393,4.5239904,0.058420488,-1.1086605,0.70046888
0.24905363,3.5425406,0.021593299,-0.86011308,0.76806127
0.29322461,2.6956909,-0.010462827,-0.5982482,0.79524134
0.34627204,1.9598798,-0.035180085,-0.34524013,0.78302951
0.40365301,1.5261883,-0.049024376,-0.14960992,0.74189763
0.43882407,1.2478853,-0.052758141,-0.066580384,0.71417149
0.47399514,1.1084158,-0.053984343,-0.0065942754,0.6860016
0.52130744,1.0478525,-0.052967904,0.044713686,0.65145229
0.57844487,1.1044439,-0.04944421,0.07428879,0.61744698
0.61749861,1.0877794,-0.046395542,0.080745954,0.60080825
0.65655234,1.0982918,-0.043229873,0.080640566,0.58773173
0.70508139,1.1359644,-0.039431271,0.075383536,0.57545652
0.76066688,1.2084187,-0.035492219,0.066549145,0.56515767
0.80067478,1.18211,-0.03297506,0.059622699,0.5607323
0.84068268,1.1692864,-0.03072228,0.053240024,0.55708382
0.88923099,1.174399,-0.028307238,0.04660569,0.55316886
0.94416407,1.2113772,-0.025928492,0.040680214,0.54888833
0.99418902,1.248719,-0.024022739,0.036496147,0.54522965
1.034765,1.184784,-0.022617037,0.033394149,0.54376964
1.0725212,1.1416865,-0.021406114,0.030998838,0.54223509
1.1165921,1.1291222,-0.02009352,0.028753393,0.53995675
1.1700166,1.1415456,-0.018624518,0.026559117,0.53689191
1.2243416,1.1994398,-0.0172492,0.02483268,0.53323934
