time,u,y_lineal,ydot_lineal,i_lineal,y,ydot,i,e
0,0,0,0,0.5,0,0,0.5,0
3.1554436e-30,0,4.4897009e-63,9.3201992e-61,0.5,1.3621355e-66,-9.9573679e-59,0.5,-4.4883387e-63
0.0012951699,8.8534281e-05,-1.6382687e-09,-2.7867796e-07,0.4999992,-7.2326675e-09,-1.674569e-05,0.4987082,-5.5943988e-09
0.0033540205,0.0028245143,-5.8550308e-08,-9.4357338e-06,0.499975,-1.2533988e-07,-0.00011197351,0.49667038,-6.6789574e-08
0.0057184738,0.016676053,-3.9528388e-07,-5.9655171e-05,0.49985605,-6.1941984e-07,-0.00032410771,0.49436822,-2.2413596e-07
0.0089179091,0.063338893,-1.808386e-06,-0.00024860197,0.49947387,-2.3366856e-06,-0.00078132154,0.49137827,-5.2829967e-07
0.014327229,0.21520266,-8.4611285e-06,-0.00098715473,0.49834826,-9.5454332e-06,-0.0019648046,0.48692001,-1.0843046e-06
0.019128727,0.39844248,-2.0760866e-05,-0.0020915381,0.49719943,-2.225464e-05,-0.0033784864,0.48385905,-1.4937741e-06
0.027102654,0.71382298,-5.8348437e-05,-0.0046376334,0.4958818,-6.026938e-05,-0.0062367853,0.48089763,-1.9209432e-06
0.031624848,0.86786685,-9.0408097e-05,-0.0063187979,0.49570481,-9.2462702e-05,-0.0080110364,0.48030592,-2.0546048e-06
0.036147042,0.99495373,-0.00013063635,-0.008069624,0.4959648,-0.00013276962,-0.0098157256,0.48035576,-2.1332681e-06
0.042316776,1.1245059,-0.00019866221,-0.01045663,0.49693367,-0.00020084783,-0.012237877,0.48121543,-2.1856124e-06
0.049499096,1.221138,-0.00029620629,-0.013097945,0.4987246,-0.0002984098,-0.014891612,0.48299186,-2.20351e-06
0.054150921,1.2594422,-0.00036920223,-0.014679133,0.50013767,-0.00037141121,-0.016474846,0.48441356,-2.208985e-06
0.058802747,1.28412,-0.00044928498,-0.01613951,0.50166511,-0.00045149475,-0.017934898,0.48595389,-2.2097698e-06
0.064731134,1.3012889,-0.00056067363,-0.017812922,0.50369586,-0.00056288133,-0.019606664,0.4880003,-2.2076984e-06
0.071645709,1.3078985,-0.00070222006,-0.019493404,0.50608752,-0.00070442289,-0.021284802,0.49040669,-2.2028303e-06
0.078245824,1.3062038,-0.00084725517,-0.020830408,0.50832116,-0.00084944932,-0.022619076,0.49265305,-2.1941545e-06
0.083586204,1.300543,-0.00097051373,-0.021727207,0.51007274,-0.00097270891,-0.023515627,0.49440719,-2.1951801e-06
0.088194311,1.2937077,-0.0010804092,-0.02237508,0.5115315,-0.0010826093,-0.024164281,0.49586437,-2.2001129e-06
0.093239927,1.2855556,-0.0012038604,-0.022959618,0.51305916,-0.0012060614,-0.024748813,0.49739288,-2.2010133e-06
0.099481854,1.2748755,-0.0013601627,-0.023512943,0.51484619,-0.0013623613,-0.025301479,0.49918286,-2.1986211e-06
0.10634772,1.2633778,-0.0015354034,-0.02392238,0.51667416,-0.0015375903,-0.025708345,0.50102006,-2.1869408e-06
0.11105985,1.2538619,-0.0016569638,-0.024087724,0.51786519,-0.0016591599,-0.02587562,0.50220497,-2.196066e-06
0.11577198,1.2448523,-0.0017791172,-0.02417006,0.51898888,-0.001781317,-0.025958755,0.50332627,-2.1997896e-06
0.12168413,1.2342137,-0.0019326319,-0.024164704,0.52030707,-0.0019348304,-0.025953145,0.50464559,-2.198482e-06
0.12859283,1.2229972,-0.0021115198,-0.02401964,0.52172059,-0.0021137063,-0.025805587,0.50606773,-2.1865479e-06
0.13345313,1.213848,-0.0022365084,-0.023831722,0.52265633,-0.0022387034,-0.025619511,0.50699745,-2.1949305e-06
0.13831343,1.2052933,-0.0023604448,-0.023583061,0.52353028,-0.0023626438,-0.025371776,0.50786841,-2.1989949e-06
0.14422494,1.1957844,-0.0025093574,-0.023206569,0.52451228,-0.0025115546,-0.024994982,0.50885153,-2.1972189e-06
0.15091014,1.1863844,-0.002674794,-0.022693864,0.52551877,-0.0026769786,-0.02447967,0.50986683,-2.1845681e-06
0.15696785,1.1784762,-0.0028214995,-0.02215785,0.52634605,-0.0028236701,-0.023940741,0.51070392,-2.1705157e-06
0.16185469,1.1698773,-0.0029373238,-0.021675706,0.52698332,-0.0029395109,-0.023462222,0.51132906,-2.1871504e-06
0.1663944,1.1625198,-0.0030427557,-0.021197612,0.52752972,-0.0030449536,-0.02298648,0.51186759,-2.1978535e-06
0.17170558,1.1551646,-0.003163287,-0.020606783,0.52811075,-0.0031654861,-0.022395995,0.51244745,-2.1991128e-06
0.17816425,1.1473386,-0.0033055091,-0.019847396,0.52874296,-0.0033077012,-0.021635201,0.51308434,-2.1921193e-06
0.1847321,1.1411238,-0.0034449756,-0.019037913,0.52930167,-0.0034471455,-0.020821045,0.51365863,-2.1698593e-06
0.19013721,1.1343048,-0.0035556429,-0.01834183,0.52973033,-0.003557817,-0.020125926,0.51408398,-2.1740692e-06
0.1946551,1.1273456,-0.0036452097,-0.017742197,0.53006964,-0.0036474037,-0.019530607,0.51440877,-2.1940313e-06
0.19943569,1.1215507,-0.0037370424,-0.017099211,0.53038398,-0.0037392421,-0.018888872,0.51471882,-2.1996593e-06
0.20535783,1.1154598,-0.0038465204,-0.016291381,0.53072305,-0.0038487178,-0.018080619,0.51505918,-2.1974208e-06
0.21211346,1.1101313,-0.0039655317,-0.01535995,0.53104373,-0.0039677123,-0.017145653,0.51539151,-2.1806189e-06
0.21692416,1.1043502,-0.004046389,-0.014686103,0.53126081,-0.0040485825,-0.016474606,0.51559907,-2.1935654e-06
0.22173487,1.0993768,-0.0041240185,-0.014011402,0.5314461,-0.0041262179,-0.015801193,0.51577989,-2.1994547e-06
0.22759998,1.0943771,-0.0042142866,-0.013190129,0.53163117,-0.0042164839,-0.014979501,0.51596616,-2.1973392e-06
0.23425747,1.0901741,-0.0043109297,-0.012263228,0.53178907,-0.0043131115,-0.014049314,0.5161348,-2.1818215e-06
0.24030322,1.0868837,-0.004393346,-0.011427549,0.53189503,-0.0043955109,-0.013210037,0.51625257,-2.1648849e-06
0.2451762,1.0813946,-0.0044560619,-0.010752478,0.53198731,-0.0044582472,-0.012539333,0.51633001,-2.1852702e-06
0.24969561,1.0769854,-0.0045113245,-0.010133278,0.53205076,-0.0045135226,-0.011922881,0.51638404,-2.1980946e-06
0.25498134,1.0731965,-0.0045724559,-0.009419989,0.53209391,-0.0045746555,-0.011209915,0.51642585,-2.1995773e-06
0.26141139,1.0696729,-0.0046417907,-0.0085677873,0.53211188,-0.0046439825,-0.010356059,0.51644905,-2.191813e-06
0.26795917,1.0677774,-0.0047068245,-0.0077205922,0.5320889,-0.0047089922,-0.0095037162,0.51644296,-2.1677242e-06
0.27335601,1.064219,-0.004756248,-0.007031595,0.53207219,-0.0047584205,-0.0088157277,0.51642259,-2.1724673e-06
0.27786995,1.0598182,-0.0047947425,-0.0064624019,0.53206111,-0.0047969364,-0.008251106,0.51639595,-2.1938947e-06
0.28264367,1.0567654,-0.0048327217,-0.0058751375,0.53202367,-0.0048349216,-0.0076651078,0.516354,-2.1998604e-06
0.28855026,1.0540195,-0.0048758974,-0.0051672095,0.53195403,-0.0048780949,-0.0069566572,0.51628579,-2.1974733e-06
0.29528491,1.0523892,-0.0049201104,-0.0043865153,0.53184373,-0.0049222906,-0.0061722645,0.5161875,-2.1802412e-06
0.30009736,1.0490945,-0.0049484855,-0.0038391649,0.53177605,-0.0049506789,-0.0056277156,0.51611016,-2.1934221e-06
0.30490981,1.0465465,-0.0049742795,-0.0033068614,0.53169383,-0.0049764789,-0.0050966712,0.51602346,-2.1993887e-06
0.31076647,1.0444237,-0.0050022832,-0.0026796492,0.53157533,-0.0050044804,-0.0044689674,0.51590628,-2.1971829e-06
0.31740605,1.0433499,-0.0050296773,-0.0019964299,0.53141745,-0.005031859,-0.0037824022,0.51575924,-2.1816358e-06
0.32344186,1.0427523,-0.0050507008,-0.0013993085,0.53126165,-0.0050528657,-0.0031816959,0.51561513,-2.164966e-06
0.32831921,1.0393915,-0.0050650502,-0.00092621211,0.53115856,-0.0050672352,-0.002712874,0.51549746,-2.1850698e-06
0.3328474,1.0368788,-0.0050763616,-0.00050140699,0.53105321,-0.0050785593,-0.0022907622,0.51538285,-2.1977675e-06
0.33813538,1.0352246,-0.0050872051,-2.4185834e-05,0.5309137,-0.0050894043,-0.0018138237,0.51524212,-2.1991976e-06
0.34455631,1.0341864,-0.0050970612,0.0005300843,0.53072982,-0.0050992526,-0.0012578629,0.51506359,-2.1914159e-06
0.35109294,1.0346696,-0.0051035288,0.0010650416,0.53052287,-0.0051056965,-0.0007178003,0.51487344,-2.1676536e-06
0.35649056,1.0330126,-0.0051062412,0.0014922464,0.53036908,-0.0051084135,-0.00029156089,0.51471617,-2.172287e-06
0.36101338,1.0301587,-0.0051067575,0.0018402984,0.53025283,-0.0051089509,5.2001451e-05,0.51458468,-2.1934004e-06
0.36579434,1.0286591,-0.0051056611,0.0021915447,0.53011382,-0.0051078604,0.000402008,0.51444132,-2.1993055e-06
0.37169957,1.0277506,-0.0051020579,0.0026048133,0.52993147,-0.0051042548,0.00081582038,0.51426055,-2.1968848e-06
0.37842384,1.0280953,-0.0050950734,0.0030478623,0.52970904,-0.0050972531,0.0012625587,0.51405022,-2.1797555e-06
