time,u,y,ydot,i
0,0,0,0,0.5
0.001,0,-3.3300111e-09,-9.986722e-06,0.499002
0.002,1.0027357,-2.418497e-08,-3.1726789e-05,0.49891556
0.003,1.0177594,-6.6733435e-08,-5.3346926e-05,0.49892458
0.004,1.0386148,-1.3076296e-07,-7.4639209e-05,0.49894932
0.005,1.0584035,-2.1576973e-07,-9.52325e-05,0.49899464
0.006,1.0744495,-3.2085325e-07,-0.00011472763,0.49905904
0.007,1.0859842,-4.4473772e-07,-0.000132782,0.4991386
0.008,1.0930917,-5.8584632e-07,-0.0001491387,0.49922878
0.009,1.0962267,-7.4239047e-07,-0.00016363076,0.49932518
0.01,1.0959887,-9.1245702e-07,-0.00017617445,0.49942387
0.011,1.0930131,-1.0940861e-06,-0.00018675802,0.49952158
0.012,1.0879173,-1.2853368e-06,-0.00019542901,0.49961565
0.013,1.0812723,-1.4843402e-06,-0.00020228156,0.49970405
0.014,1.0735886,-1.6893397e-06,-0.00020744449,0.49978534
0.015,1.0653097,-1.8987203e-06,-0.00021107052,0.49985855
0.016,1.05681,-2.1110277e-06,-0.00021332682,0.49992318
0.017,1.0483968,-2.3249789e-06,-0.00021438704,0.49997908
0.018,1.0403131,-2.5394646e-06,-0.00021442459,0.50002641
0.019,1.0327431,-2.7535467e-06,-0.00021360737,0.50006554
0.02,1.0258178,-2.9664505e-06,-0.00021209368,0.50009705
0.021,1.0196215,-3.1775535e-06,-0.00021002923,0.50012162
0.022,1.0141985,-3.3863718e-06,-0.00020754522,0.50014001
0.023,1.0095598,-3.592545e-06,-0.0002047572,0.50015301
0.024,1.0056893,-3.7958201e-06,-0.00020176465,0.50016143
0.025,1.0025498,-3.9960357e-06,-0.0001986512,0.50016606
0.026,1.0000883,-4.1931064e-06,-0.00019548529,0.50016762
0.027,0.99824116,-4.387008e-06,-0.00019232115,0.50016679
0.028,0.99693794,-4.5777638e-06,-0.00018920005,0.5001642
0.029,0.99610522,-4.7654329e-06,-0.00018615174,0.50016038
0.03,0.99566948,-4.9500985e-06,-0.00018319593,0.5001558
0.031,0.99555948,-5.1318595e-06,-0.00018034375,0.50015084
0.032,0.99570805,-5.310822e-06,-0.00017759931,0.50014582
